rsid,chr,pos,beta
rs10484554,6,31306778,1.67
rs13214872,6,31287231,1.67
rs35260355,1,33480230,1.66
rs887400,17,62868479,1.65
rs115175234,7,102299678,1.64
rs1932064,1,70608238,1.62
rs139481214,18,30035671,1.62
rs17433836,1,22688745,1.596
rs2237892,11,2818521,1.59
rs56981400,3,71694973,1.59
rs62069176,17,1962297,1.5873016
rs13417783,2,166773339,1.5873016
rs73017308,3,12213890,1.58
rs17584499,9,8879118,1.57
rs7747641,6,170103681,1.56
rs138337556,5,101897240,1.56
rs11466334,19,41341832,1.55
rs11018670,11,89623460,1.55
rs3913535,11,89363589,1.55
rs73037143,3,172017181,1.548
rs147287548,7,128323039,1.5402235
rs1048886,6,70579486,1.54
rs80240198,5,19054069,1.54
rs138586319,2,237845060,1.537
rs72982988,18,60135482,1.53
rs140508424,9,109932976,1.53
rs7565310,2,128386380,1.53
rs2476601,1,113834946,1.529
rs3842753,11,2159830,1.525
rs111973643,1,161419933,1.525
rs6712932,2,105221141,1.52
rs1133146,19,53163407,1.52
rs73048515,5,4741874,1.52
rs6426514,1,228744368,1.51
rs78408340,5,103003035,1.51
rs275856,18,24259188,1.51
rs60227687,11,76674684,1.5
rs2283228,11,2828300,1.5
rs61160304,7,127609605,1.492
rs17428041,8,21853920,1.49
rs559138871,3,129751224,1.49
rs17053082,5,155967220,1.49
rs9552911,13,23290518,1.49
rs34954281,2,151369363,1.4838997
rs36025606,6,41519619,1.48
rs73838836,4,95452459,1.48
rs73284431,7,15394605,1.48
rs9300039,11,41893816,1.48
rs6997279,8,116961613,1.48
rs2233580,7,127613496,1.48
rs28589923,18,34966632,1.479
rs689,11,2160994,1.473
rs12472051,2,113974664,1.47
rs79411961,12,125432745,1.463
rs2581685,18,70391003,1.46
rs11800365,1,38923111,1.457
rs12647735,4,137078372,1.45
rs141311255,3,148156847,1.45
rs1406230,2,29360455,1.4444604
rs768920,11,93008790,1.44
rs4927186,1,55006692,1.43
rs146886108,5,14751196,1.41
rs11241589,5,121294524,1.41
rs1873747,9,91633578,1.41
rs77741372,5,78236244,1.41
rs12027542,1,233204408,1.41
rs34536443,19,10352442,1.41
rs58957777,1,167398423,1.409
rs76141923,13,81072495,1.4
rs9362054,6,84468550,1.4
rs147581833,5,14755810,1.4
rs12629668,3,147491392,1.397
rs472265,19,39090097,1.39
